ID,Name,Description,ImageURL,ReleaseDate,DiscontinuedDate,Price,Height,Width,Depth,Quantity
1,Accept,Nice wait home rich away check especially.,https://placekitten.com/253/608,2020-04-18,2026-10-06,517.23,57.57,107.49,81.51,97
2,Fish,Article my economic remain energy we debate.,https://placeimg.com/670/42/any,2020-12-24,2024-12-25,708.91,126.57,94.17,82.84,21
3,Process,Local wind imagine open role.,https://www.lorempixel.com/781/108,2023-10-29,2025-06-30,88.58,121.63,146.18,94.3,66
4,Pattern,Practice thousand career off large.,https://placekitten.com/1013/740,2021-03-06,2028-11-22,679.92,79.66,139.55,134.55,77
5,Example,Method dark skin wind big scene game picture.,https://placeimg.com/148/328/any,2022-08-21,2025-03-28,248.64,176.55,165.41,173.3,38
6,Financial,Down college foreign.,https://dummyimage.com/658x1014,2021-11-07,2028-06-17,392.7,28.75,29.49,23.85,43
7,Various,Good support marriage of deep stock meet.,https://www.lorempixel.com/395/335,2024-07-28,2029-06-18,204.29,155.42,44.7,188.97,66
8,Vote,Tough best produce relate account leg.,https://placekitten.com/845/258,2024-01-28,2027-11-08,333.6,46.09,94.26,159.42,64
9,Century,Reach laugh natural girl dream player.,https://dummyimage.com/938x844,2021-09-25,2024-10-13,40.25,149.05,65.47,75.82,84
10,Five,Every about accept traditional including my.,https://placekitten.com/928/893,2024-07-09,2026-04-21,628.62,170.84,19.07,100.68,26
11,Officer,Stand blood radio always offer group success.,https://placekitten.com/72/514,2021-03-02,2025-03-21,716.78,41.47,75.05,85.25,36
12,Mother,Line put well require own record.,https://placeimg.com/738/731/any,2020-05-30,2028-11-02,516.07,49.94,178.57,69.73,81
13,Available,Despite sing school much.,https://www.lorempixel.com/1009/148,2023-02-22,2029-04-30,412.39,182.51,166.19,40.86,88
14,Development,Size significant occur most.,https://www.lorempixel.com/949/795,2024-01-26,2029-03-27,689.36,93.73,17.76,72.78,42
15,Receive,Cover trip quite weight company.,https://placekitten.com/491/609,2023-09-01,2029-05-26,278.05,144.11,68.58,187.2,47
16,Bag,Whom Republican power computer.,https://placekitten.com/889/307,2024-04-21,2028-01-18,533.45,159.99,196.0,31.74,23
17,Friend,Mean election particular.,https://placeimg.com/292/84/any,2021-05-02,2026-03-19,136.63,153.4,64.52,198.29,21
18,Bring,Person plan main happy.,https://www.lorempixel.com/190/425,2022-01-25,2029-04-18,783.81,183.37,64.46,84.84,29
19,Per,Career practice sport science.,https://www.lorempixel.com/1023/976,2022-06-27,2026-01-04,224.77,93.07,72.68,177.31,57
20,Skill,He commercial scientist growth identify lose direction especially.,https://placeimg.com/177/725/any,2020-03-02,2028-03-18,974.62,119.99,12.0,183.1,92
